City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
603,Watsa,CD,3.0372,29.5355,66.51,88,95,1.3,overcast clouds
604,Steinbach,DE,50.1667,8.5667,38.57,81,40,14.97,light rain and snow
605,Cedar City,US,37.6775,-113.0619,44.4,39,1,3.44,clear sky
606,Sheridan,US,44.8333,-106.9173,44.78,84,90,1.01,overcast clouds
607,Changji,CN,44.0167,87.3167,20.19,79,3,2.24,mist
608,Puntarenas,CR,9.9763,-84.8384,80.53,83,100,1.34,overcast clouds
609,Malanje,AO,-9.5402,16.341,63.72,98,100,2.21,overcast clouds
610,Bom Jesus,BR,-9.0744,-44.3586,71.13,96,98,0.38,overcast clouds
611,Trairi,BR,-3.2778,-39.2689,79.9,79,36,9.51,scattered clouds
612,Leninsk,RU,48.7119,45.1994,46.26,89,100,18.45,light rain
613,Snezhnogorsk,RU,69.1933,33.2531,-4.22,88,96,8.99,overcast clouds
614,Crossville,US,35.949,-85.0269,36.52,61,1,5.01,clear sky
615,Buraydah,SA,26.326,43.975,48.65,23,25,3.71,scattered clouds
616,Novoagansk,RU,61.9449,76.6625,25.61,95,100,13.73,light snow
617,Beira,MZ,-19.8436,34.8389,71.69,78,40,1.99,scattered clouds
618,Sakaiminato,JP,35.55,133.2333,64.38,52,75,10.36,broken clouds
619,Weatherford,US,32.7593,-97.7972,58.3,62,0,10.4,clear sky
620,Loreto,MX,22.2667,-101.9667,57.99,62,75,7.72,broken clouds
621,Lengshuitan,CN,26.4111,111.5956,58.98,30,23,11.65,few clouds
622,Watertown,US,42.3709,-71.1828,30.42,61,1,4.0,clear sky
623,Xuddur,SO,4.1213,43.8894,75.49,55,48,20.31,scattered clouds
624,Yulara,AU,-25.2406,130.9889,96.64,9,0,13.8,clear sky
625,Abnub,EG,27.2696,31.1511,70.9,23,67,0.96,broken clouds
626,Ketou,BJ,7.3633,2.5998,74.19,93,31,1.61,scattered clouds
