City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Port-Gentil,GA,2021-11-30 01:21:17,-0.7193,8.7815,79.27,85,100,13.51
274,Washington,US,2021-11-30 01:19:55,47.5001,-120.5015,53.98,68,84,4.16
275,Victor Harbor,AU,2021-11-30 01:21:18,-35.5667,138.6167,91.18,31,63,9.15
276,Caceres,ES,2021-11-30 01:21:18,39.522,-6.3748,38.8,87,42,2.3
277,Rio Grande,BR,2021-11-30 01:19:50,-32.035,-52.0986,68.4,77,99,22.39
278,Mayo,US,2021-11-30 01:22:19,38.8876,-76.5119,42.94,62,1,1.01
279,Severodvinsk,RU,2021-11-30 01:22:19,64.5635,39.8302,3.31,91,100,9.89
280,Halifax,CA,2021-11-30 01:21:58,44.6453,-63.5724,46.47,96,100,5.99
281,Hovd,MN,2021-11-30 01:22:20,48.0056,91.6419,14.79,51,3,1.3
282,Kushima,JP,2021-11-30 01:22:21,31.4583,131.2333,63.91,69,20,12.35
283,Ahipara,NZ,2021-11-30 01:22:22,-35.1667,173.1667,70.99,60,42,8.14
284,Balvi,LV,2021-11-30 01:22:22,57.1313,27.2658,24.35,93,100,11.79
285,Souillac,MU,2021-11-30 01:22:23,-20.5167,57.5167,73.36,83,20,3.44
286,Diamantino,BR,2021-11-30 01:22:23,-14.4086,-56.4461,74.62,90,91,1.45
287,Brae,GB,2021-11-30 01:22:24,60.3964,-1.353,37.31,56,100,24.99
288,Vasteras,SE,2021-11-30 01:22:25,59.6162,16.5528,20.86,89,14,3.44
289,Mingshui,CN,2021-11-30 01:22:25,36.7167,117.5,37.89,60,4,15.68
290,La Ronge,CA,2021-11-30 01:22:26,55.1001,-105.2842,23.25,68,20,9.22
291,Oktyabrskiy,RU,2021-11-30 01:22:26,54.4815,53.471,30.07,76,100,16.26
292,Fuerte Olimpo,PY,2021-11-30 01:22:27,-21.0415,-57.8738,68.97,94,89,2.77
293,Nalut,LY,2021-11-30 01:22:27,30.3333,10.85,46.51,28,56,7.52
